,Airline,Source,Destination,Additional_Info,Price,month,Weekday,Dep_hour,Dep_min,Arrival_hour,Dur_hour,Dur_min,Arrival_min2,Stop1,Stop2,Stop3,Stop4,Total_stops1
0,3,0,5,8,3897,3,3,22,20,1,2,50,10,0,13,29,13,0
1,1,3,0,8,7662,5,2,5,50,13,7,25,15,2,25,1,3,2
2,4,2,1,8,13882,6,0,9,25,4,19,0,25,3,32,4,5,2
3,3,3,0,8,6218,5,4,18,5,23,5,25,30,2,34,3,13,1
4,3,0,5,8,13302,3,4,16,50,21,4,45,35,0,34,8,13,1
5,8,3,0,8,3873,6,1,9,0,11,2,25,25,2,5,29,13,0
6,4,0,5,5,11087,3,5,18,55,10,15,30,25,0,7,8,13,1
7,4,0,5,8,22270,3,4,8,0,5,21,5,5,0,7,8,13,1
8,4,0,5,5,11087,3,5,8,55,10,25,30,25,0,7,8,13,1
9,6,2,1,8,8625,5,1,11,25,19,7,50,15,3,7,6,13,1
10,1,2,1,8,8907,6,3,9,45,23,13,15,0,3,6,6,13,1
11,3,3,0,8,4174,4,4,20,20,22,2,35,55,2,5,29,13,0
12,1,1,4,8,4667,6,1,11,40,13,2,15,55,4,8,29,13,0
13,4,3,0,5,9663,5,4,21,10,9,12,10,20,2,7,3,13,1
14,3,3,0,8,4804,4,6,17,15,19,2,35,50,2,5,29,13,0
15,1,2,1,8,14011,3,3,16,40,19,26,35,15,3,0,4,5,2
16,8,2,1,8,5830,4,1,8,45,13,4,30,15,3,37,6,13,1
17,4,2,1,5,10262,6,0,14,0,12,22,35,35,3,7,6,13,1
18,1,2,1,8,13381,6,0,20,15,19,23,0,15,3,9,4,5,2
19,4,2,1,5,12898,5,1,16,0,12,20,35,35,3,7,6,13,1
20,2,2,1,8,19495,3,1,14,10,19,5,10,20,3,7,6,13,1
21,1,0,5,8,6955,3,4,22,0,13,15,20,20,0,11,8,13,1
22,3,0,2,8,3943,4,1,4,0,6,2,50,50,0,13,29,13,0
23,3,0,2,8,4823,5,2,18,55,21,2,55,50,0,13,29,13,0
24,4,3,0,5,7757,5,6,18,55,8,13,20,15,2,7,3,13,1
25,4,2,1,8,13292,6,0,21,25,12,15,10,35,3,21,4,5,2
26,3,2,1,8,8238,6,3,21,50,3,5,45,35,3,32,6,13,1
27,2,2,1,8,7682,5,6,7,0,12,5,55,55,3,7,6,13,1
28,10,0,2,8,4668,6,5,9,45,12,2,50,35,0,13,29,13,0
29,10,1,4,8,3687,6,2,7,5,9,2,15,20,4,8,29,13,0
30,10,1,4,8,3687,6,5,7,5,9,2,15,20,4,8,29,13,0
31,1,3,0,8,13227,5,2,9,50,23,13,25,15,2,15,9,3,2
32,3,0,2,8,4423,4,5,4,0,6,2,50,50,0,13,29,13,0
33,4,2,1,5,10919,6,2,14,35,12,22,0,35,3,34,4,5,2
34,4,2,1,5,12373,5,2,7,5,12,5,30,35,3,7,6,13,1
35,3,2,1,8,5894,6,4,10,35,21,10,25,0,3,7,6,13,1
36,8,3,0,8,4649,5,5,15,5,20,5,15,20,2,33,3,13,1
37,1,3,0,8,6245,5,2,14,15,16,2,30,45,2,5,29,13,0
38,4,0,5,8,19225,3,1,7,0,13,6,15,15,0,7,8,13,1
39,4,2,1,8,14924,6,6,7,5,19,11,55,0,3,7,6,13,1
40,6,2,1,8,9646,5,5,7,5,18,11,5,10,3,20,6,13,1
41,1,0,5,8,8714,3,0,6,45,15,8,30,15,0,7,8,13,1
42,4,2,1,5,12373,5,2,20,55,19,22,5,0,3,7,6,13,1
43,0,0,2,8,3383,5,6,11,10,13,2,45,55,0,13,29,13,0
44,6,2,1,8,13062,3,4,9,0,21,12,0,0,3,7,6,13,1
45,8,0,5,7,3527,3,3,5,45,8,2,50,35,0,13,29,13,0
46,3,0,2,8,3943,5,1,4,0,6,2,50,50,0,13,29,13,0
47,1,1,4,8,4667,5,5,11,40,13,2,15,55,4,8,29,13,0
48,1,3,0,8,6117,5,6,19,0,11,16,5,5,2,20,3,13,1
49,4,2,1,5,11150,6,4,23,5,19,19,55,0,3,0,4,5,2
50,4,2,1,5,7202,3,5,11,0,14,3,15,15,3,10,29,13,0
51,4,3,0,8,12121,5,2,9,35,10,25,20,55,2,14,3,13,1
52,3,0,5,8,4377,3,3,22,20,1,2,50,10,0,13,29,13,0
53,3,0,2,8,3943,6,5,21,15,0,3,0,15,0,13,29,13,0
54,0,0,2,8,4483,4,1,23,55,2,2,50,45,0,13,29,13,0
55,4,3,0,8,14231,3,3,19,45,12,16,15,0,2,7,3,13,1
56,1,0,5,8,17345,3,4,8,50,23,15,5,55,0,7,0,6,2
57,10,1,4,8,7414,3,1,7,5,9,2,15,20,4,8,29,13,0
58,6,2,1,8,8073,5,6,19,0,1,6,30,30,3,7,6,13,1
59,10,4,3,8,12395,3,1,15,40,16,25,5,45,1,14,13,13,1
60,1,3,0,8,8366,6,4,9,25,21,12,25,50,2,7,3,13,1
61,1,2,1,8,5117,4,1,6,5,9,27,20,25,3,33,6,13,1
62,6,2,1,8,12524,6,6,8,45,19,10,15,0,3,7,6,13,1
63,3,2,1,8,7191,5,6,15,0,1,10,30,30,3,7,6,13,1
64,10,1,4,8,3687,5,0,7,5,9,2,15,20,4,8,29,13,0
65,3,2,1,8,5894,6,1,10,35,21,10,25,0,3,7,6,13,1
66,10,0,2,8,5403,4,6,9,45,12,2,50,35,0,13,29,13,0
67,1,4,3,8,3625,5,6,13,55,15,1,30,25,1,19,29,13,0
68,1,2,1,8,10861,5,5,5,55,19,13,20,15,3,4,4,5,2
69,3,1,4,8,6297,3,5,13,20,15,2,15,35,4,8,29,13,0
70,4,4,3,8,5678,6,3,7,5,8,1,25,30,1,19,29,13,0
71,4,0,5,5,9134,3,5,5,45,8,26,30,15,0,7,8,13,1
72,6,2,1,5,10791,6,1,11,40,19,7,20,0,3,7,6,13,1
73,4,2,1,8,12819,6,1,23,5,12,13,30,35,3,0,4,5,2
74,3,2,1,8,6893,3,4,5,5,10,5,0,5,3,6,6,13,1
75,10,0,5,8,7240,3,5,9,50,12,2,45,35,0,13,29,13,0
76,2,0,2,8,3898,4,1,11,40,14,2,50,30,0,13,29,13,0
77,3,4,3,8,4049,4,1,6,25,7,1,30,55,1,19,29,13,0
78,4,2,1,5,10262,6,2,17,30,12,19,5,35,3,7,6,13,1
79,8,1,4,7,3332,3,4,8,20,10,2,15,35,4,8,29,13,0
80,4,3,0,5,10844,6,0,21,10,12,14,50,0,2,7,3,13,1
81,4,0,5,8,7229,3,3,19,55,22,2,40,35,0,13,29,13,0
82,4,3,0,8,13941,5,6,6,30,4,22,10,40,2,7,3,13,1
83,3,2,1,8,5894,6,4,11,25,21,9,35,0,3,7,6,13,1
84,6,2,1,8,10197,5,2,9,0,19,10,0,0,3,7,6,13,1
85,4,0,5,5,13712,3,1,14,5,11,21,20,25,0,7,8,13,1
86,3,2,1,8,5636,6,1,2,0,7,5,25,25,3,33,6,13,1
87,4,2,1,8,13014,6,4,9,40,4,18,45,25,3,28,4,5,2
88,4,3,0,5,7064,4,0,8,25,20,12,20,45,2,7,3,13,1
89,4,3,0,5,10703,5,0,20,25,14,18,0,25,2,14,3,13,1
90,6,2,1,8,9646,5,1,13,15,22,9,15,30,3,20,6,13,1
91,6,2,1,8,17057,3,1,2,15,13,11,5,20,3,7,6,13,1
92,4,0,5,8,13817,3,5,16,55,10,17,30,25,0,7,8,13,1
93,1,2,1,8,13748,3,1,5,55,19,13,20,15,3,4,4,5,2
94,1,3,0,8,4880,4,3,20,45,23,2,35,20,2,5,29,13,0
95,3,1,4,8,3540,6,0,5,15,7,2,25,40,4,8,29,13,0
96,8,0,2,7,3257,5,6,5,55,8,2,40,35,0,13,29,13,0
97,4,0,2,5,6478,6,6,19,50,22,3,0,50,0,13,29,13,0
98,4,4,3,8,8040,6,5,7,5,8,1,25,30,1,19,29,13,0
99,4,2,1,8,14300,6,0,20,0,12,16,35,35,3,1,4,5,2
100,4,3,0,8,14781,5,6,8,25,20,12,20,45,2,7,3,13,1
101,4,3,0,8,14939,6,0,20,0,8,12,15,15,2,7,3,13,1
102,4,2,1,5,10262,6,1,20,55,4,7,30,25,3,7,6,13,1
103,1,3,0,8,6528,5,4,14,35,14,24,0,35,2,33,3,13,1
104,1,0,2,8,6121,5,2,6,10,8,2,45,55,0,13,29,13,0
105,4,2,1,5,13029,5,2,19,30,4,8,55,25,3,28,4,5,2
106,6,2,1,8,11421,3,6,11,40,18,7,10,50,3,7,6,13,1
107,6,2,1,8,7574,3,6,4,45,19,14,30,15,3,7,6,13,1
108,1,2,1,8,11596,5,4,12,55,19,30,20,15,3,29,4,5,2
109,4,2,1,8,15129,5,0,23,5,19,19,55,0,3,0,4,5,2
110,4,0,5,8,13555,3,1,14,5,5,15,0,5,0,7,8,13,1
111,3,0,2,8,5780,4,6,18,55,21,2,55,50,0,13,29,13,0
112,10,3,0,8,9397,5,4,20,20,9,12,45,5,2,14,3,13,1
113,4,2,1,8,17024,3,1,18,15,4,10,10,25,3,7,6,13,1
114,2,2,1,8,5281,6,4,7,0,12,5,55,55,3,7,6,13,1
